epoch,train_loss,eval_loss,eval_top1
559,2.137547652181071,1.2410177463531493,66.35
560,2.1428235294571607,1.2376263538360597,66.41
561,2.134916078113258,1.2424068002700805,66.5
562,2.14624428443811,1.2324754460334777,66.73
563,2.1382036909709057,1.243349384021759,66.2
564,2.13651785929896,1.2395908514022826,66.29
565,2.140171698510418,1.245044259929657,66.58
566,2.138503672371448,1.2405289196014404,66.32
567,2.134131278790219,1.2419700672149658,66.7
568,2.1380090295276326,1.2320793078422547,66.65
569,2.135594425525006,1.2380830780029297,66.64
570,2.1383237283147403,1.2470691357612609,66.36
571,2.138710598481602,1.246067847442627,65.99
572,2.137765914316214,1.237696855354309,66.59
573,2.135969218615533,1.2447090629577637,66.11
574,2.1350510802678047,1.2333784662246705,66.4
575,2.1400628526445846,1.2374919160842897,66.72
576,2.1396257672816628,1.241248360824585,66.04
577,2.1415401051505425,1.2309341445922852,66.44
578,2.13000451450006,1.2413378138542175,66.65
579,2.135331853556419,1.2391192423820496,66.46
580,2.143970980992238,1.2381588048934937,66.56
581,2.132225581839509,1.2424349369049073,66.69
582,2.1379213597191433,1.2382703800201416,66.31
583,2.133456711274561,1.245622127342224,66.25
584,2.1370464342046485,1.2422764508247375,66.57
585,2.1358154007781027,1.2405774224281312,66.41
586,2.1336006103190814,1.2354110363006592,66.41
587,2.1365398414308987,1.2337530873298646,66.4
588,2.135788507711872,1.2369222617149354,66.65
589,2.1246301436393726,1.2348435264587403,66.32
590,2.134098710842841,1.2391360668182374,66.41
591,2.1410696666768816,1.2379124946594238,66.74
592,2.1381636206227594,1.2408158409118653,66.35
593,2.1284224399378604,1.2350582302093507,66.51
594,2.136735351992325,1.2391504318237305,66.31
